Date,All items,Medical care,Used vehicles,Energy,Food,Less F&E,Shelter,Electricity,Motor fuel
2015-01-01,234.747,441.351,144.875,199.926,246.197,239.811,274.762,210.956,201.099
2015-02-01,235.342,441.101,147.264,203.021,246.495,240.172,275.470,211.775,208.233
2015-03-01,235.976,442.943,147.694,205.757,246.072,240.755,276.258,210.178,215.931
2015-04-01,236.222,445.822,148.404,203.577,246.002,241.346,277.003,210.345,212.784
2015-05-01,237.001,446.743,149.290,208.973,246.239,241.688,277.524,208.447,226.390
2015-06-01,237.657,446.330,149.480,212.015,246.937,242.064,278.284,209.410,231.952
2015-07-01,238.034,446.953,149.078,211.623,247.157,242.565,279.329,208.761,232.738
2015-08-01,238.033,446.612,148.295,208.579,247.742,242.817,279.921,208.619,226.625
2015-09-01,237.498,447.648,147.554,197.246,248.492,243.316,280.737,208.449,202.855
2015-10-01,237.733,450.681,146.397,195.616,248.755,243.768,281.429,208.015,200.172
2015-11-01,238.017,452.225,144.850,195.114,248.525,244.241,282.129,207.902,199.810
2015-12-01,237.761,452.732,143.955,190.143,248.206,244.547,282.779,207.269,191.564
2016-01-01,237.652,454.194,144.638,185.235,248.353,244.955,283.714,206.088,182.135
2016-02-01,237.336,456.922,143.979,176.401,248.606,245.510,284.502,205.294,163.438
2016-03-01,238.080,457.723,143.659,182.234,248.029,245.913,285.122,205.707,175.823
2016-04-01,238.992,459.245,145.475,186.713,248.235,246.551,285.853,205.655,185.394
2016-05-01,239.557,460.487,146.416,188.596,247.856,247.137,286.855,206.053,188.404
2016-06-01,240.222,462.090,144.887,192.899,247.683,247.540,287.819,206.255,197.305
2016-07-01,240.101,464.439,143.270,189.046,247.658,247.829,288.524,207.015,186.408
2016-08-01,240.545,469.020,142.803,188.772,247.746,248.423,289.367,207.546,184.642
2016-09-01,241.176,469.816,144.851,192.243,247.772,248.842,290.369,209.026,190.670
2016-10-01,241.741,469.749,142.217,195.979,247.812,249.142,291.378,208.519,198.613
2016-11-01,242.026,469.914,139.975,196.372,247.741,249.481,292.227,208.136,200.002
2016-12-01,242.637,470.539,139.457,199.513,247.725,249.920,293.066,208.253,206.968
2017-01-01,243.618,471.484,138.761,205.369,248.065,250.467,293.769,208.295,218.699
2017-02-01,244.006,473.139,138.713,204.133,248.735,250.998,294.543,209.049,214.598
2017-03-01,243.892,473.685,139.232,202.528,249.244,250.944,295.012,208.767,211.556
2017-04-01,244.193,473.007,138.596,202.954,249.589,251.227,295.741,210.370,210.132
2017-05-01,244.004,472.981,138.601,198.449,249.972,251.430,296.461,211.342,198.832
2017-06-01,244.163,474.492,137.691,197.808,249.770,251.746,297.215,212.198,196.777
2017-07-01,244.243,476.279,136.872,195.994,250.185,251.985,297.676,212.955,192.711
2017-08-01,245.183,477.199,136.875,201.450,250.469,252.535,298.904,212.935,204.559
2017-09-01,246.435,477.190,135.033,212.723,250.826,252.812,299.711,213.083,229.145
2017-10-01,246.626,477.671,137.803,208.328,251.048,253.526,300.814,212.221,220.121
2017-11-01,247.284,477.791,138.261,213.047,251.195,253.816,301.430,212.790,229.750
2017-12-01,247.805,478.891,138.123,213.574,251.716,254.344,302.428,213.172,229.898
2018-01-01,248.743,480.810,138.416,216.872,252.253,255.072,303.205,213.111,236.762
2018-02-01,249.439,481.556,137.953,220.381,252.248,255.568,303.769,213.347,241.677
2018-03-01,249.581,483.055,137.431,216.925,252.412,256.128,304.799,213.018,235.284
2018-04-01,250.146,483.512,137.273,218.268,253.016,256.603,305.689,212.537,238.373
2018-05-01,250.779,484.460,137.842,220.632,253.018,257.151,306.798,213.256,242.747
2018-06-01,251.118,486.165,137.618,221.473,253.278,257.449,307.204,212.703,245.160
2018-07-01,251.323,485.236,138.331,219.758,253.673,257.848,308.049,211.908,242.200
2018-08-01,251.749,484.268,139.086,222.435,254.034,258.028,308.979,212.624,246.515
2018-09-01,252.239,485.461,137.544,223.444,254.283,258.505,309.551,211.236,250.381
2018-10-01,252.862,485.772,138.797,226.462,254.081,258.997,310.426,213.281,255.367
2018-11-01,252.657,487.587,140.295,219.267,254.750,259.455,311.279,213.423,241.187
2018-12-01,252.551,488.555,140.068,212.633,255.673,259.934,312.194,214.966,224.957
2019-01-01,252.470,489.949,140.706,205.540,256.381,260.534,313.004,213.573,212.303
2019-02-01,253.135,490.006,139.499,208.699,257.233,260.885,314.017,212.962,219.696
2019-03-01,254.273,491.324,138.051,216.376,257.752,261.382,315.069,213.439,234.586
2019-04-01,255.163,492.855,138.355,221.758,257.479,261.958,316.199,213.336,245.851
2019-05-01,255.325,494.658,138.227,219.680,258.008,262.321,317.051,213.046,242.238
2019-06-01,255.361,495.692,139.334,214.666,258.043,262.945,317.953,212.892,232.634
2019-07-01,255.900,497.582,140.365,215.850,258.144,263.491,318.734,213.602,234.835
2019-08-01,256.179,500.784,141.969,213.169,258.329,264.135,319.332,213.210,229.614
2019-09-01,256.596,502.304,141.120,213.122,258.880,264.588,320.419,213.244,229.982
2019-10-01,257.305,506.640,140.779,216.620,259.371,265.019,320.861,213.701,236.052
2019-11-01,257.788,508.357,139.674,217.435,259.902,265.461,321.629,213.736,237.549
2019-12-01,258.263,510.862,139.097,219.786,260.274,265.742,322.306,213.531,241.865
