Date,CPI,New Vehicles,Used Vehicles
2015-01-01,234.747,146.558,144.875
2015-02-01,235.342,147.345,147.264
2015-03-01,235.976,147.574,147.694
2015-04-01,236.222,147.844,148.404
2015-05-01,237.001,147.889,149.290
2015-06-01,237.657,147.845,149.480
2015-07-01,238.034,147.154,149.078
2015-08-01,238.033,146.704,148.295
2015-09-01,237.498,146.570,147.554
2015-10-01,237.733,146.516,146.397
2015-11-01,238.017,146.804,144.850
2015-12-01,237.761,146.817,143.955
2016-01-01,237.652,147.456,144.638
2016-02-01,237.336,148.268,143.979
2016-03-01,238.080,148.227,143.659
2016-04-01,238.992,147.895,145.475
2016-05-01,239.557,147.646,146.416
2016-06-01,240.222,147.245,144.887
2016-07-01,240.101,147.119,143.270
2016-08-01,240.545,146.713,142.803
2016-09-01,241.176,146.499,144.851
2016-10-01,241.741,146.896,142.217
2016-11-01,242.026,147.027,139.975
2016-12-01,242.637,147.299,139.457
2017-01-01,243.618,148.848,138.761
2017-02-01,244.006,148.993,138.713
2017-03-01,243.892,148.543,139.232
2017-04-01,244.193,148.457,138.596
2017-05-01,244.004,148.033,138.601
2017-06-01,244.163,147.262,137.691
2017-07-01,244.243,146.190,136.872
2017-08-01,245.183,145.712,136.875
2017-09-01,246.435,145.037,135.033
2017-10-01,246.626,144.868,137.803
2017-11-01,247.284,145.442,138.261
2017-12-01,247.805,146.522,138.123
2018-01-01,248.743,146.996,138.416
2018-02-01,249.439,146.807,137.953
2018-03-01,249.581,146.727,137.431
2018-04-01,250.146,146.069,137.273
2018-05-01,250.779,146.349,137.842
2018-06-01,251.118,146.562,137.618
2018-07-01,251.323,146.526,138.331
2018-08-01,251.749,146.149,139.086
2018-09-01,252.239,145.715,137.544
2018-10-01,252.862,145.588,138.797
2018-11-01,252.657,145.826,140.295
2018-12-01,252.551,146.126,140.068
2019-01-01,252.470,147.059,140.706
2019-02-01,253.135,147.226,139.499
2019-03-01,254.273,147.788,138.051
2019-04-01,255.163,147.840,138.355
2019-05-01,255.325,147.659,138.227
2019-06-01,255.361,147.417,139.334
2019-07-01,255.900,147.035,140.365
2019-08-01,256.179,146.456,141.969
2019-09-01,256.596,145.854,141.120
2019-10-01,257.305,145.726,140.779
2019-11-01,257.788,145.728,139.674
2019-12-01,258.263,146.220,139.097
2020-01-01,258.682,147.253,137.922
2020-02-01,259.007,147.803,137.758
2020-03-01,258.165,147.124,138.206
2020-04-01,256.094,147.007,137.273
2020-05-01,255.944,147.222,137.773
2020-06-01,257.217,147.108,135.521
2020-07-01,258.543,147.803,139.088
2020-08-01,259.580,147.412,147.599
2020-09-01,260.190,147.361,155.629
2020-10-01,260.352,147.956,156.986
2020-11-01,260.721,148.063,154.739
2020-12-01,261.564,149.091,153.041
2021-01-01,262.200,149.377,151.708
2021-02-01,263.346,149.515,150.649
2021-03-01,265.028,149.321,151.174
2021-04-01,266.727,149.892,166.035
2021-05-01,268.599,152.143,178.796
2021-06-01,270.955,154.847,196.878
2021-07-01,272.184,157.203,196.969
2021-08-01,273.092,158.652,194.645
2021-09-01,274.214,160.244,193.626
2021-10-01,276.590,162.527,198.479
2021-11-01,278.524,164.511,203.322
2021-12-01,280.126,166.653,210.090
2022-01-01,281.933,167.582,213.173
2022-02-01,284.182,168.027,212.644
2022-03-01,287.708,168.056,204.562
2022-04-01,288.663,169.699,203.776
2022-05-01,291.474,171.350,207.518
2022-06-01,295.328,172.546,210.863
2022-07-01,295.271,173.618,209.998
2022-08-01,295.620,174.598,209.782
2022-09-01,296.761,175.312,207.532
2022-10-01,298.062,176.157,202.510
2022-11-01,298.349,176.354,196.539
2022-12-01,298.112,176.463,191.532
